work_shift,type,refinery,origin_departure_date,origin_net_weight,destination_arrival_date,destination_net_weight,raw_row_number,missing_weight_flag,weight_difference,weight_difference_sign,duplicate_group_size,duplicate_flag,origin_calendar_year,origin_calendar_month,origin_calendar_day,destination_calendar_year,destination_calendar_month,destination_calendar_day,date_format_flag,date_label_order_flag
Night shift,VB,Shiraz,1399/01/25,25000,1399/01/25,25030,56,FALSE,30,positive_raw_difference,1,FALSE,1399,1,25,1399,1,25,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,24530,1399/01/26,24500,57,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,23300,1399/01/26,23290,58,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,25460,1399/01/26,25390,59,FALSE,-70,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,23920,1399/01/26,24010,60,FALSE,90,positive_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,22480,1399/01/26,22440,61,FALSE,-40,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,22770,1399/01/26,22760,62,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,23750,1399/01/26,23730,63,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,26620,1399/01/26,26600,64,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,24930,1399/01/26,24900,65,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,25220,1399/01/26,25220,66,FALSE,0,zero_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,25830,1399/01/26,25700,67,FALSE,-130,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,23800,1399/01/26,23790,68,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,24250,1399/01/26,24230,69,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,22650,1399/01/26,22640,70,FALSE,-10,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,23470,1399/01/26,23450,71,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,24380,1399/01/26,24390,72,FALSE,10,positive_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,24850,1399/01/26,24850,73,FALSE,0,zero_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,24480,1399/01/26,24460,74,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,25340,1399/01/26,25320,75,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/26,24240,1399/01/26,24210,76,FALSE,-30,negative_raw_difference,1,FALSE,1399,1,26,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/25,24720,1399/01/26,24700,77,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/01/26,25840,1399/01/26,25820,78,FALSE,-20,negative_raw_difference,1,FALSE,1399,1,26,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/01/25,24520,1399/01/26,24450,79,FALSE,-70,negative_raw_difference,2,TRUE,1399,1,25,1399,1,26,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
