raw_row_number,Origin Departure Date,Destination Arrival Date,origin_format_matches_yyyy_mm_dd,destination_format_matches_yyyy_mm_dd,origin_components_within_broad_ranges,destination_components_within_broad_ranges,destination_label_after_or_equal_origin
148,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
149,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
150,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
151,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
152,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
153,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
154,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
155,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
156,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
157,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
158,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
159,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
160,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
161,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
162,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
163,1399/02/31,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
164,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
165,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
166,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
167,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
168,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
169,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
170,1399/02/31,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
171,1399/03/01,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
172,1399/03/01,1399/03/01,TRUE,TRUE,TRUE,TRUE,TRUE
173,1399/02/31,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
174,1399/02/31,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
175,1399/03/01,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
176,1399/03/01,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
177,1399/03/01,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
178,1399/03/01,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
179,1399/02/31,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
180,1399/02/31,1399/03/02,TRUE,TRUE,TRUE,TRUE,TRUE
181,1399/03/04,1399/03/05,TRUE,TRUE,TRUE,TRUE,TRUE
182,1399/03/04,1399/03/05,TRUE,TRUE,TRUE,TRUE,TRUE
183,1399/03/04,1399/03/06,TRUE,TRUE,TRUE,TRUE,TRUE
184,1399/03/06,1399/03/07,TRUE,TRUE,TRUE,TRUE,TRUE
185,1399/03/07,1399/03/07,TRUE,TRUE,TRUE,TRUE,TRUE
186,1399/03/09,1399/03/10,TRUE,TRUE,TRUE,TRUE,TRUE
