raw_row_number,Refinery,Type,Work shift,Origin Departure Date,Destination Arrival Date,Origin Net Weight,Destination Net Weight,origin_weight_numeric,destination_weight_numeric,destination_minus_origin,absolute_weight_difference,is_largest_absolute_difference,is_smallest_absolute_difference
108,Shiraz,VB,Day shift,1399/02/03,1399/02/04,22500,22480,22500,22480,-20,20,FALSE,FALSE
109,Shiraz,VB,Day shift,1399/02/03,1399/02/04,24400,24370,24400,24370,-30,30,FALSE,FALSE
110,Shiraz,VB,Day shift,1399/02/03,1399/02/04,25240,25220,25240,25220,-20,20,FALSE,FALSE
111,Shiraz,VB,Day shift,1399/02/03,1399/02/04,22950,22920,22950,22920,-30,30,FALSE,FALSE
112,Shiraz,VB,Day shift,1399/02/03,1399/02/04,25770,25740,25770,25740,-30,30,FALSE,FALSE
113,Shiraz,VB,Day shift,1399/02/03,1399/02/04,24890,24820,24890,24820,-70,70,FALSE,FALSE
114,Shiraz,VB,Day shift,1399/02/03,1399/02/04,25230,25210,25230,25210,-20,20,FALSE,FALSE
115,Shiraz,VB,Day shift,1399/02/03,1399/02/04,25470,25430,25470,25430,-40,40,FALSE,FALSE
116,Shiraz,VB,Night shift,1399/02/04,1399/02/04,24200,24280,24200,24280,80,80,FALSE,FALSE
117,Shiraz,VB,Night shift,1399/02/03,1399/02/04,24850,24820,24850,24820,-30,30,FALSE,FALSE
118,Shiraz,VB,Night shift,1399/02/04,1399/02/04,24170,24120,24170,24120,-50,50,FALSE,FALSE
119,Shiraz,VB,Day shift,1399/02/04,1399/02/05,25140,25240,25140,25240,100,100,FALSE,FALSE
120,Shiraz,VB,Day shift,1399/02/04,1399/02/05,24780,24900,24780,24900,120,120,FALSE,FALSE
121,Shiraz,VB,Night shift,1399/02/05,1399/02/05,23630,23940,23630,23940,310,310,FALSE,FALSE
122,Shiraz,VB,Night shift,1399/02/05,1399/02/05,25420,25480,25420,25480,60,60,FALSE,FALSE
123,Shiraz,VB,Night shift,1399/02/05,1399/02/05,24560,24730,24560,24730,170,170,FALSE,FALSE
124,Shiraz,VB,Night shift,1399/02/05,1399/02/05,24040,24130,24040,24130,90,90,FALSE,FALSE
125,Shiraz,VB,Night shift,1399/02/04,1399/02/05,24470,24730,24470,24730,260,260,FALSE,FALSE
126,Shiraz,VB,Day shift,1399/02/04,1399/02/06,24290,24270,24290,24270,-20,20,FALSE,FALSE
127,Shiraz,VB,Night shift,1399/02/05,1399/02/06,23970,24040,23970,24040,70,70,FALSE,FALSE
128,Shiraz,VB,Day shift,1399/02/06,1399/02/07,25290,25280,25290,25280,-10,10,FALSE,FALSE
129,Shiraz,VB,Day shift,1399/02/06,1399/02/07,23990,24130,23990,24130,140,140,FALSE,FALSE
130,Shiraz,VB,Day shift,1399/02/06,1399/02/07,23770,24000,23770,24000,230,230,FALSE,FALSE
131,Shiraz,VB,Day shift,1399/02/06,1399/02/07,25250,25420,25250,25420,170,170,FALSE,FALSE
132,Shiraz,VB,Day shift,1399/02/06,1399/02/07,24310,24440,24310,24440,130,130,FALSE,FALSE
133,Shiraz,VB,Day shift,1399/02/06,1399/02/07,26230,26320,26230,26320,90,90,FALSE,FALSE
134,Shiraz,VB,Day shift,1399/02/06,1399/02/07,24300,24280,24300,24280,-20,20,FALSE,FALSE
135,Shiraz,VB,Night shift,1399/02/06,1399/02/07,22920,22930,22920,22930,10,10,FALSE,FALSE
136,Shiraz,VB,Day shift,1399/02/09,1399/02/10,24650,24590,24650,24590,-60,60,FALSE,FALSE
137,Pars Petrochemical,C5+,Night shift,1399/02/12,1399/02/14,26560,26560,26560,26560,0,0,FALSE,TRUE
138,Pars Petrochemical,C5+,Night shift,1399/02/20,1399/02/22,26940,26920,26940,26920,-20,20,FALSE,FALSE
139,Shiraz,VB,Night shift,1399/02/30,1399/02/31,24230,24440,24230,24440,210,210,FALSE,FALSE
140,Shiraz,VB,Night shift,1399/02/30,1399/02/31,25600,25570,25600,25570,-30,30,FALSE,FALSE
141,Shiraz,VB,Night shift,1399/02/30,1399/02/31,24180,24150,24180,24150,-30,30,FALSE,FALSE
142,Shiraz,VB,Day shift,1399/02/30,1399/02/31,24230,24270,24230,24270,40,40,FALSE,FALSE
143,Shiraz,VB,Day shift,1399/02/30,1399/02/31,24990,24970,24990,24970,-20,20,FALSE,FALSE
144,Shiraz,VB,Day shift,1399/02/30,1399/02/31,22160,22120,22160,22120,-40,40,FALSE,FALSE
145,Shiraz,VB,Day shift,1399/02/30,1399/02/31,25870,25860,25870,25860,-10,10,FALSE,FALSE
146,Shiraz,VB,Day shift,1399/02/30,1399/02/31,24530,24640,24530,24640,110,110,FALSE,FALSE
147,Shiraz,VB,Day shift,1399/02/30,1399/02/31,24850,24930,24850,24930,80,80,FALSE,FALSE
148,Shiraz,VB,Day shift,1399/02/30,1399/02/31,25160,25120,25160,25120,-40,40,FALSE,FALSE
149,Shiraz,VB,Day shift,1399/02/30,1399/02/31,22640,22700,22640,22700,60,60,FALSE,FALSE
150,Shiraz,VB,Day shift,1399/02/30,1399/02/31,25810,25760,25810,25760,-50,50,FALSE,FALSE
151,Shiraz,VB,Day shift,1399/02/30,1399/02/31,24450,24680,24450,24680,230,230,FALSE,FALSE
152,Shiraz,VB,Day shift,1399/02/31,1399/02/31,24280,24280,24280,24280,0,0,FALSE,TRUE
153,Shiraz,VB,Night shift,1399/02/30,1399/02/31,23750,23860,23750,23860,110,110,FALSE,FALSE
154,Shiraz,VB,Night shift,1399/02/31,1399/02/31,25250,25220,25250,25220,-30,30,FALSE,FALSE
155,Shiraz,VB,Night shift,1399/02/30,1399/02/31,26090,26220,26090,26220,130,130,FALSE,FALSE
156,Shiraz,VB,Night shift,1399/02/31,1399/02/31,22560,22570,22560,22570,10,10,FALSE,FALSE
157,Shiraz,VB,Night shift,1399/02/31,1399/02/31,26190,26230,26190,26230,40,40,FALSE,FALSE
158,Shiraz,VB,Night shift,1399/02/31,1399/02/31,24990,25110,24990,25110,120,120,FALSE,FALSE
159,Shiraz,VB,Night shift,1399/02/31,1399/02/31,25550,25530,25550,25530,-20,20,FALSE,FALSE
160,Shiraz,VB,Night shift,1399/02/31,1399/02/31,24630,24620,24630,24620,-10,10,FALSE,FALSE
161,Shiraz,VB,Night shift,1399/02/31,1399/02/31,24930,25060,24930,25060,130,130,FALSE,FALSE
162,Shiraz,VB,Night shift,1399/02/31,1399/02/31,21740,21760,21740,21760,20,20,FALSE,FALSE
163,Shiraz,VB,Night shift,1399/02/31,1399/02/31,23610,23660,23610,23660,50,50,FALSE,FALSE
164,Shiraz,VB,Day shift,1399/02/31,1399/03/01,24530,24570,24530,24570,40,40,FALSE,FALSE
165,Shiraz,VB,Day shift,1399/02/31,1399/03/01,15050,15110,15050,15110,60,60,FALSE,FALSE
166,Shiraz,VB,Evening shift,1399/02/31,1399/03/01,24240,24230,24240,24230,-10,10,FALSE,FALSE
167,Shiraz,VB,Evening shift,1399/02/31,1399/03/01,24070,24060,24070,24060,-10,10,FALSE,FALSE
168,Shiraz,VB,Evening shift,1399/02/31,1399/03/01,26880,26860,26880,26860,-20,20,FALSE,FALSE
169,Shiraz,VB,Evening shift,1399/02/31,1399/03/01,25010,25090,25010,25090,80,80,FALSE,FALSE
170,Shiraz,VB,Night shift,1399/02/31,1399/03/01,23170,23170,23170,23170,0,0,FALSE,TRUE
171,Shiraz,VB,Night shift,1399/03/01,1399/03/01,24470,24440,24470,24440,-30,30,FALSE,FALSE
172,Shiraz,VB,Night shift,1399/03/01,1399/03/01,25100,25080,25100,25080,-20,20,FALSE,FALSE
173,Shiraz,VB,Night shift,1399/02/31,1399/03/02,23880,23840,23880,23840,-40,40,FALSE,FALSE
174,Shiraz,VB,Night shift,1399/02/31,1399/03/02,26310,26300,26310,26300,-10,10,FALSE,FALSE
175,Shiraz,VB,Night shift,1399/03/01,1399/03/02,25790,25760,25790,25760,-30,30,FALSE,FALSE
176,Shiraz,VB,Night shift,1399/03/01,1399/03/02,23970,23940,23970,23940,-30,30,FALSE,FALSE
177,Shiraz,VB,Night shift,1399/03/01,1399/03/02,25310,25260,25310,25260,-50,50,FALSE,FALSE
178,Shiraz,VB,Night shift,1399/03/01,1399/03/02,24310,24290,24310,24290,-20,20,FALSE,FALSE
179,Shiraz,VB,Night shift,1399/02/31,1399/03/02,24150,24070,24150,24070,-80,80,FALSE,FALSE
180,Pars Petrochemical,C5+,Day shift,1399/02/31,1399/03/02,28200,28240,28200,28240,40,40,FALSE,FALSE
181,South Pars,Condensate,Evening shift,1399/03/04,1399/03/05,23767,23790,23767,23790,23,23,FALSE,FALSE
182,South Pars,Condensate,Evening shift,1399/03/04,1399/03/05,24430,24300,24430,24300,-130,130,FALSE,FALSE
183,South Pars,Condensate,Night shift,1399/03/04,1399/03/06,22381,22320,22381,22320,-61,61,FALSE,FALSE
184,South Pars,Condensate,Night shift,1399/03/06,1399/03/07,23481,23450,23481,23450,-31,31,FALSE,FALSE
185,South Pars,Condensate,Night shift,1399/03/07,1399/03/07,22330,22320,22330,22320,-10,10,FALSE,FALSE
186,Tehran,VB,Evening shift,1399/03/09,1399/03/10,25080,25040,25080,25040,-40,40,FALSE,FALSE
187,Tehran,VB,Evening shift,1399/03/09,1399/03/10,25570,25550,25570,25550,-20,20,FALSE,FALSE
188,Tehran,VB,Evening shift,1399/03/08,1399/03/10,23230,23190,23230,23190,-40,40,FALSE,FALSE
189,Tehran,VB,Night shift,1399/03/09,1399/03/10,25920,25900,25920,25900,-20,20,FALSE,FALSE
