parent_gem_entity_id,parent,immediate_project_owner_gem_entity_id,immediate_project_owner,ownership_path_records
E100001000197,Government of Kazakhstan,E100001015202,KazTransOil JSC,20
E100001010042,Ministry of Finance (Kazakhstan),E100001015202,KazTransOil JSC,20
E100001015201,National Bank of Kazakhstan,E100001015202,KazTransOil JSC,20
E100001015202,KazTransOil JSC,E100001015202,KazTransOil JSC,20
E100002001974,member/employee owned,E100001014294,Energy Transfer LP,20
E100001015587,small shareholder(s),E100001014294,Energy Transfer LP,19
E100001015587,small shareholder(s),E100001015202,KazTransOil JSC,19
E100000001213,Exxon Mobil Corp,E100000001213,Exxon Mobil Corp,17
E100001000348,BlackRock Inc,E100001014294,Energy Transfer LP,17
E100001010595,The Vanguard Group Inc,E100001014294,Energy Transfer LP,17
E100000000034,State Oil Company of Azerbaijan Republic,E100000000034,State Oil Company of Azerbaijan Republic,16
E100000001179,Chevron Corp,E100000001179,Chevron Corp,16
E100001000250,Government of Azerbaijan,E100000000034,State Oil Company of Azerbaijan Republic,16
E100001000348,BlackRock Inc,E100000001179,Chevron Corp,16
E100001010596,State Street Corp,E100000001179,Chevron Corp,16
E100001010596,State Street Corp,E100000001213,Exxon Mobil Corp,16
E100001015833,Blackrock Advisors LLC,E100000001213,Exxon Mobil Corp,16
E100000000387,TotalEnergies SE,E100000000387,TotalEnergies SE,15
E100000000720,Petróleos Mexicanos EPE,E100000000720,Petróleos Mexicanos EPE,15
E100001000081,Government of Mexico,E100000000720,Petróleos Mexicanos EPE,15
E100001000348,BlackRock Inc,E100000001213,Exxon Mobil Corp,15
E100001010595,The Vanguard Group Inc,E100000001213,Exxon Mobil Corp,15
E100001015833,Blackrock Advisors LLC,E100000001179,Chevron Corp,15
E100002001974,member/employee owned,E100000000387,TotalEnergies SE,15
E100000000173,China Petrochemical Corp,E100000000865,SIBUR Holding PJSC,14
E100001010596,State Street Corp,E100001014294,Energy Transfer LP,14
E100001015833,Blackrock Advisors LLC,E100001014294,Energy Transfer LP,14
E100000000056,Yacimientos Petrolíferos Fiscales Bolivianos Corp,E100001016100,YPFB Transporte SA,13
E100001000018,Government of Bolivia,E100001016100,YPFB Transporte SA,13
E100001015587,small shareholder(s),E100000001213,Exxon Mobil Corp,13
E100001015587,small shareholder(s),E100001016100,YPFB Transporte SA,13
E100000000084,Petróleo Brasileiro SA,E100000000084,Petróleo Brasileiro SA,12
E100000000136,TC Energy Corp,E100000000136,TC Energy Corp,12
E100000001075,Naftogaz of Ukraine JSC,E100000001075,Naftogaz of Ukraine JSC,12
E100000001155,Berkshire Hathaway Inc,E100000001179,Chevron Corp,12
E100000123261,natural person(s),E100002004362,Mid-America Pipeline Company LLC,12
E100001000269,Government of Ukraine,E100000001075,Naftogaz of Ukraine JSC,12
E100001000311,Government of Brazil,E100000000084,Petróleo Brasileiro SA,12
E100001000312,BNDES Participações SA,E100000000084,Petróleo Brasileiro SA,12
E100001000313,Brazilian Development Bank,E100000000084,Petróleo Brasileiro SA,12
E100001000314,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços (Brasil)",E100000000084,Petróleo Brasileiro SA,12
E100001010595,The Vanguard Group Inc,E100000001179,Chevron Corp,12
E100001014282,Enterprise Products Partners LP,E100002004362,Mid-America Pipeline Company LLC,12
E100001014312,Royal Bank of Canada,E100000000136,TC Energy Corp,12
E100001014689,Enterprise Products Co,E100002004362,Mid-America Pipeline Company LLC,12
E100001015587,small shareholder(s),E100000000084,Petróleo Brasileiro SA,12
E100001015587,small shareholder(s),E100000000136,TC Energy Corp,12
E100001015587,small shareholder(s),E100000001179,Chevron Corp,12
E100001015587,small shareholder(s),E100002004362,Mid-America Pipeline Company LLC,12
E100001015800,Royal Trust Corporation of Canada,E100000000136,TC Energy Corp,12
E100002021864,Goldman Sachs Asset Management LP,E100000000136,TC Energy Corp,12
